"FixdotCode","PulseDuration","ResponseCode","StopSignalCode","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions","correct_kb_response","correct_response","count_CodeSettings","count_ErrorFeedback","count_NoError","count_ResponseCalc","count_ResponseGiven","count_SetlinesZero","count_StartFixdot","count_StartStopsignal","count_StartTarget","count_about_this_example","count_blank","count_block_loop","count_experiment","count_finished","count_fixdot","count_instructions","count_kb_response","count_logger","count_new_advanced_delay","count_stop_signal","count_stop_signal_coroutines","count_target","count_trial_sequence","datetime","delay_new_advanced_delay","description","direction","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finished","response_instructions","response_kb_response","response_target","response_time","response_time_finished","response_time_instructions","response_time_kb_response","response_time_target","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stop_after","stopcode","subject_nr","subject_parity","target","targetcode","time_CodeSettings","time_ErrorFeedback","time_NoError","time_ResponseCalc","time_ResponseGiven","time_SetlinesZero","time_StartFixdot","time_StartStopsignal","time_StartTarget","time_about_this_example","time_blank","time_block_loop","time_experiment","time_finished","time_fixdot","time_instructions","time_kb_response","time_logger","time_new_advanced_delay","time_stop_signal","time_target","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"1","10","133","255","100","100","573.6342999989574","573.6342999989574","black","no","psycho","psycho","psycho","0","uniform","14067","593.9484000009543","0.042222819364537874","1","undefined","1","left","0","0","0","0","0","1","0","NA","0","0","0","0","0","0","0","0","0","0","0","NA","0","0","0","Tue Nov 30 14:28:33 2021","397","Loosely based on Logan (1984) Journal of Experimental Psychology: Human Perception and Performance","1","yes","StopSignalTask.osexp","C:\Users\user\Documents\GitHub\StopTaskBCN","no","mono","no","18","no","white","no","yes","768","psycho","0","0","C:/Users/user/Documents/GitHub/StopTaskBCN/subject-3.csv","psycho","Lentiform Loewenfeld","3.3.9","0","left","NA","down","left","NA","573.6342999989574","NA","86658.6540999997","573.6342999989574","NA","2","psycho","1024","2","48000","-16","experiment","","0","3","odd","left","2","90198.01899999948","NA","91589.01799999876","91413.62239999944","NA","NA","NA","NA","NA","NA","91455.77669999875","90198.05009999982","3497.113999999783","NA","90372.49479999991","3538.5286000000633","90839.5273999995","92482.31390000001","90372.74039999829","NA","90839.22549999988","90326.81479999883","Stop-Signal Task","1","573.6342999989574","1","yes","1024"
"1","10","133","255","100","100","529.2183499996099","529.2183499996099","black","no","psycho","psycho","psycho","0","uniform","11961","499.0226999998413","0.04172081765737324","1","undefined","1","left","0","1","1","1","1","2","1","NA","1","0","1","0","0","0","1","0","1","1","1","NA","1","1","1","Tue Nov 30 14:28:33 2021","308","Loosely based on Logan (1984) Journal of Experimental Psychology: Human Perception and Performance","1","yes","StopSignalTask.osexp","C:\Users\user\Documents\GitHub\StopTaskBCN","no","mono","no","18","no","white","no","yes","768","psycho","1","1","C:/Users/user/Documents/GitHub/StopTaskBCN/subject-3.csv","psycho","Lentiform Loewenfeld","3.3.9","0","left","NA","down","left","NA","484.8024000002624","NA","86658.6540999997","484.8024000002624","NA","2","psycho","1024","2","48000","-16","experiment","","0","3","odd","left","2","90198.01899999948","NA","93722.35029999865","93557.63589999879","NA","NA","NA","NA","NA","NA","93589.01689999948","90198.05009999982","3497.113999999783","NA","92722.44389999832","3538.5286000000633","93072.3771999983","94633.34719999875","92722.51289999986","NA","93072.32149999982","92685.5844999991","Stop-Signal Task","2","1058.4366999992199","2","yes","1024"
"1","10","131","255","100","100","511.90183333346795","511.90183333346795","black","no","psycho","psycho","psycho","0","uniform","11758","494.02830000144604","0.04201635482237166","1","undefined","1","right","0","2","2","2","2","3","2","NA","2","0","2","0","0","0","2","0","2","2","2","NA","2","2","2","Tue Nov 30 14:28:33 2021","353","Loosely based on Logan (1984) Journal of Experimental Psychology: Human Perception and Performance","0","yes","StopSignalTask.osexp","C:\Users\user\Documents\GitHub\StopTaskBCN","no","mono","no","18","no","white","no","yes","768","psycho","2","2","C:/Users/user/Documents/GitHub/StopTaskBCN/subject-3.csv","psycho","Lentiform Loewenfeld","3.3.9","0","right","NA","down","right","NA","477.268800001184","NA","86658.6540999997","477.268800001184","NA","2","psycho","1024","2","48000","-16","experiment","","0","3","odd","right","8","90198.01899999948","NA","95905.78529999948","95733.62539999835","NA","NA","NA","NA","NA","NA","95772.37999999852","90198.05009999982","3497.113999999783","NA","94855.7409999994","3538.5286000000633","95255.90389999888","96810.3216999989","94855.99099999854","NA","95255.69659999928","94806.79899999996","Stop-Signal Task","3","1535.7055000004038","3","yes","1024"
"1","10","131","255","100","100","481.05230000010124","481.05230000010124","black","no","psycho","psycho","psycho","0","uniform","9552","413.07360000064364","0.043244723618157836","1","undefined","1","right","0","3","3","3","3","4","3","NA","3","0","3","0","0","0","3","0","3","3","3","NA","3","3","3","Tue Nov 30 14:28:33 2021","356","Loosely based on Logan (1984) Journal of Experimental Psychology: Human Perception and Performance","0","yes","StopSignalTask.osexp","C:\Users\user\Documents\GitHub\StopTaskBCN","no","mono","no","18","no","white","no","yes","768","psycho","3","3","C:/Users/user/Documents/GitHub/StopTaskBCN/subject-3.csv","psycho","Lentiform Loewenfeld","3.3.9","0","right","NA","down","right","NA","388.5037000000011","NA","86658.6540999997","388.5037000000011","NA","2","psycho","1024","2","48000","-16","experiment","","0","3","odd","right","8","90198.01899999948","NA","98039.0241999994","97861.64719999942","NA","NA","NA","NA","NA","NA","97905.72629999951","90198.05009999982","3497.113999999783","NA","97072.37069999974","3538.5286000000633","97472.68889999941","98945.49489999918","97072.58609999917","NA","97472.41629999917","97030.7144999988","Stop-Signal Task","4","1924.209200000405","4","yes","1024"
"1","10","131","255","100","100","471.48572000005515","471.48572000005515","black","no","psycho","psycho","psycho","0","uniform","10728","452.0410000004631","0.04213655853844735","1","undefined","1","right","0","4","4","4","4","5","4","NA","4","0","4","0","0","0","4","0","4","4","4","NA","4","4","4","Tue Nov 30 14:28:33 2021","349","Loosely based on Logan (1984) Journal of Experimental Psychology: Human Perception and Performance","0","yes","StopSignalTask.osexp","C:\Users\user\Documents\GitHub\StopTaskBCN","no","mono","no","18","no","white","no","yes","768","psycho","4","4","C:/Users/user/Documents/GitHub/StopTaskBCN/subject-3.csv","psycho","Lentiform Loewenfeld","3.3.9","0","right","NA","down","right","NA","433.2193999998708","NA","86658.6540999997","433.2193999998708","NA","2","psycho","1024","2","48000","-16","experiment","","0","3","odd","right","8","90198.01899999948","NA","100172.37079999904","99989.60399999851","NA","NA","NA","NA","NA","NA","100039.06199999983","90198.05009999982","3497.113999999783","NA","99155.72780000002","3538.5286000000633","99555.88759999955","101071.69459999932","99155.94959999908","NA","99555.6850999983","99111.9052999984","Stop-Signal Task","5","2357.4286000002758","5","yes","1024"
"1","10","133","255","100","100","461.6578833335249","461.6578833335249","black","no","psycho","psycho","psycho","0","uniform","10266","434.87679999998363","0.04236088057665923","1","undefined","1","left","0","5","5","5","5","6","5","NA","5","0","5","0","0","0","5","0","5","5","5","NA","5","5","5","Tue Nov 30 14:28:33 2021","355","Loosely based on Logan (1984) Journal of Experimental Psychology: Human Perception and Performance","1","yes","StopSignalTask.osexp","C:\Users\user\Documents\GitHub\StopTaskBCN","no","mono","no","18","no","white","no","yes","768","psycho","5","5","C:/Users/user/Documents/GitHub/StopTaskBCN/subject-3.csv","psycho","Lentiform Loewenfeld","3.3.9","0","left","NA","down","left","NA","412.51870000087365","NA","86658.6540999997","412.51870000087365","NA","2","psycho","1024","2","48000","-16","experiment","","0","3","odd","left","2","90198.01899999948","NA","102255.71799999852","102085.64839999963","NA","NA","NA","NA","NA","NA","102122.47399999978","90198.05009999982","3497.113999999783","NA","101272.39399999962","3538.5286000000633","101672.64669999895","103152.97269999974","101272.4591999995","NA","101672.42239999905","101233.05639999853","Stop-Signal Task","6","2769.9473000011494","6","yes","1024"
"1","10","133","255","100","100","451.5894142857308","451.5894142857308","black","no","psycho","psycho","psycho","0","uniform","9665","418.0852000008599","0.043257651319281935","1","undefined","1","left","0","6","6","6","6","7","6","NA","6","0","6","0","0","0","6","0","6","6","6","NA","6","6","6","Tue Nov 30 14:28:33 2021","349","Loosely based on Logan (1984) Journal of Experimental Psychology: Human Perception and Performance","1","yes","StopSignalTask.osexp","C:\Users\user\Documents\GitHub\StopTaskBCN","no","mono","no","18","no","white","no","yes","768","psycho","6","6","C:/Users/user/Documents/GitHub/StopTaskBCN/subject-3.csv","psycho","Lentiform Loewenfeld","3.3.9","0","left","NA","down","left","NA","391.1785999989661","NA","86658.6540999997","391.1785999989661","NA","2","psycho","1024","2","48000","-16","experiment","","0","3","odd","left","2","90198.01899999948","NA","104372.41879999965","104197.65169999846","NA","NA","NA","NA","NA","NA","104239.07969999891","90198.05009999982","3497.113999999783","NA","103405.77479999956","3538.5286000000633","103805.98629999986","105275.45419999842","103405.85439999995","NA","103805.77859999903","103369.34139999903","Stop-Signal Task","7","3161.1259000001155","7","yes","1024"
"1","10","133","255","100","100","437.4585750001643","437.4585750001643","black","no","psycho","psycho","psycho","0","uniform","8442","363.58020000079705","0.043068017057663714","1","undefined","1","left","0","7","7","7","7","8","7","NA","7","0","7","0","0","0","7","0","7","7","7","NA","7","7","7","Tue Nov 30 14:28:33 2021","390","Loosely based on Logan (1984) Journal of Experimental Psychology: Human Perception and Performance","1","yes","StopSignalTask.osexp","C:\Users\user\Documents\GitHub\StopTaskBCN","no","mono","no","18","no","white","no","yes","768","psycho","7","7","C:/Users/user/Documents/GitHub/StopTaskBCN/subject-3.csv","psycho","Lentiform Loewenfeld","3.3.9","0","left","NA","down","left","NA","338.5427000011987","NA","86658.6540999997","338.5427000011987","NA","2","psycho","1024","2","48000","-16","experiment","","0","3","odd","left","2","90198.01899999948","NA","106439.05459999951","106261.63579999957","NA","NA","NA","NA","NA","NA","106305.7493999986","90198.05009999982","3497.113999999783","NA","105472.42339999866","3538.5286000000633","105922.61559999861","107337.71249999882","105472.49209999973","NA","105922.40579999998","105437.26019999849","Stop-Signal Task","8","3499.668600001314","8","yes","1024"
"1","10","131","255","100","100","426.11446666685674","426.11446666685674","black","no","psycho","psycho","psycho","0","uniform","8348","345.66110000014305","0.04140645663633721","1","undefined","1","right","0","8","8","8","8","9","8","NA","8","0","8","0","0","0","8","0","8","8","8","NA","8","8","8","Tue Nov 30 14:28:33 2021","390","Loosely based on Logan (1984) Journal of Experimental Psychology: Human Perception and Performance","0","yes","StopSignalTask.osexp","C:\Users\user\Documents\GitHub\StopTaskBCN","no","mono","no","18","no","white","no","yes","768","psycho","8","8","C:/Users/user/Documents/GitHub/StopTaskBCN/subject-3.csv","psycho","Lentiform Loewenfeld","3.3.9","0","right","NA","down","right","NA","335.3616000003967","NA","86658.6540999997","335.3616000003967","NA","2","psycho","1024","2","48000","-16","experiment","","0","3","odd","right","8","90198.01899999948","NA","108522.42549999937","108341.60639999936","NA","NA","NA","NA","NA","NA","108389.11299999927","90198.05009999982","3497.113999999783","NA","107572.45089999924","3538.5286000000633","108005.77989999874","109422.67779999929","107572.53369999853","NA","108005.72579999971","107532.98779999932","Stop-Signal Task","9","3835.030200001711","9","yes","1024"
"1","10","131","255","100","100","425.1463900001909","425.1463900001909","black","no","psycho","psycho","psycho","0","uniform","10187","439.10440000036033","0.043104387945456006","1","undefined","1","right","0","9","9","9","9","10","9","NA","9","0","9","0","0","0","9","0","9","9","9","NA","9","9","9","Tue Nov 30 14:28:33 2021","303","Loosely based on Logan (1984) Journal of Experimental Psychology: Human Perception and Performance","0","yes","StopSignalTask.osexp","C:\Users\user\Documents\GitHub\StopTaskBCN","no","mono","no","18","no","white","no","yes","768","psycho","9","9","C:/Users/user/Documents/GitHub/StopTaskBCN/subject-3.csv","psycho","Lentiform Loewenfeld","3.3.9","0","right","NA","down","right","NA","416.43370000019786","NA","86658.6540999997","416.43370000019786","NA","2","psycho","1024","2","48000","-16","experiment","","0","3","odd","right","8","90198.01899999948","NA","110555.75089999911","110389.63009999861","NA","NA","NA","NA","NA","NA","110422.40929999934","90198.05009999982","3497.113999999783","NA","109622.45179999991","3538.5286000000633","109972.66399999899","111457.09579999857","109622.523","NA","109972.43519999938","109583.99709999867","Stop-Signal Task","10","4251.463900001909","10","yes","1024"
